esp,text
En la batalla renacemos ,"In battle, we are reborn."
Huye y la lanza te encontrará la espalda ,"Flee, and the spear will find your back."
Lucho hasta que la sangre me quita la lanza de las manos hasta que solo puedo arrastrarme E incluso entonces no me derrotarás incluso entonces te escupiré en la cara ,"I fight until the blood takes the spear from my grasp, until I can only crawl. And even then, you will not defeat me, even then, I will spit in your face!"
Los cielos no me temen porque soy un dios me temen porque soy un hombre ,"The heavens do not fear me because I am a god, they fear me because I am a man!"
Que este día sea leyenda ,Let this day be legend.
Mi nombre es Soldado Por mi lanza conocerán la guerra ,"My name is Soldier. By my spear, they will know war."
Se les llama dioses pero cuando mueren no puedes oír sus aullidos por encima del viento ,"They are called gods, but when they die you cannot hear their howls above the wind."
Hermano de los guerreros que descansan bajo el trigo Hijo de batallas mil veces perdidas Sé quién soy y mostraré a los dioses en lo que puedo convertirme ,"Brother to warriors resting beneath wheat. Son of battles a thousand times lost. I know who I am, and I will show the gods what I can become!"
Los escudos defienden los corazones Tanto tuyos como de los que están a tu lado ,"Shields defend hearts. Both yours, and those beside you."
Pondré el poder de los dragones en su contra lo hundiré bajo las escamas esto lo prometo ,"I will turn the dragons' power against them, drive it deep beneath scale... this, I promise."
Aquí termina la era de los dragones ,Here ends the age of dragons!
Clamamos a los cielos y ellos responden en ala y llama ,We cry out to the heavens... and they answer in wing and flame.
Un dragón se avecina sus alas batiendo la canción de la batalla llamándonos a la guerra ,"A dragon looms, its wings beating the song of battle... calling us to war!"
Aatrox ha sacrificado dioses Pero ahora se enfrenta a un hombre ,"Aatrox has slaughtered gods. But now, he faces a man."
No es por qué lucho sino por quién lucho ,"It is not why I fight, but who I fight for."
Lanzo mis excusas al suelo ,I cast my excuses into the dirt.
La tierra está debajo de mí ,The earth is beneath me.
Adelante La lanza apunta en una sola dirección ,Onward! The spear points in only one direction.
Incluso empalado en una espada seguiré adelante ,"Even impaled on a blade, I will press forward!."
Vivimos nuestras vidas a la sombra proyectada por una montaña ,We live our lives in the shadow cast by a mountain.
La muerte es lo único que alguna vez me abrazó ,Death is the only thing that ever embraced me.
Somos lo que superamos ,We are what we overcome.
Un choque de acero He oído que todo quedó en silencio ,A clashing of steel... I have heard it all go silent.
Uso mi destino como un arma ,I wield my fate as a weapon!
No hay piedad no hay piedad ,"There is no pity, no mercy."
No es lo mismo seguir adelante que huir de los errores ,Pressing forward is not the same as running from your mistakes.
Las lanzas crecen inquietas ante los campos de trigo ,Spears grow restless before fields of wheat.
Si sangran los llamaré hermana o hermano ,If they bleed I will call them sister or brother.
El mundo se mueve mientras los cielos yacen quietos ,The world moves as the heavens lie still.
Debido a que caemos la escalada debe ser nuestro destino ,"Because we fall, the climb must be our destination."
Llevo un timón para ser solo un soldado ,I wear a helm so that I am only a soldier.
Tallaré mis cicatrices en los cielos ,I will carve my scars into the heavens.
Enterré el arrepentimiento en una tumba junto con mi nombre ,"I buried regret in a grave, along with my name."
El poder de estos dioses no es más que un eco del nuestro ,The power of these 'gods' is but an echo of our own.
Yo no marco el ritmo corro contra él ,"I do not set the pace, I race against it."
El pasado marcha conmigo ,The past marches with me.
No hay enemigos no hay aliados Sólo los que están a punto de morir ,"There are no enemies, no allies. Only those about to die."
Desde los cielos ven guerra pero en la tierra solo hay matanza ,"From the skies they see war, but on earth there is only carnage."
El arte de la guerra es escuchar los latidos de tu corazón sabiendo que estás vivo ,"The art of war is hearing your heart beating, knowing you are alive!"
Si me matan al menos muero como un hombre ,"If they kill me, at least I die a man."
Soy la punta de la lanza levantada contra la rendición ,"I am the tip of the spear, raised against surrender!"
He encontrado mi límite mil veces y aún presiono más ,"I have found my limit a thousand times, and still I press further."
El pueblo clama por la fuerza que ya es suya ,The people cry out for strength that is already theirs!
Cuánto más podríamos caminar si no estuviéramos obligados a llevar nuestros miedos a la espalda ,How much further could we march if we were not forced to carry our fears on our backs?
El crepúsculo de los dioses llega cada mañana cuando nuestro mundo brilla más que las estrellas ,"The twilight of the gods comes each morning, when our world shines brighter than the stars."
Todos debemos encontrar nuestro lugar El mío está siendo derribado para que pueda levantarme una vez más ,"We must all find our place. Mine is being cast down, so I can rise once more!"
Tenemos el privilegio de respirar de saborear el aire Es el último suspiro de todos los que han muerto antes que nosotros ,"We are privileged to breathe, to taste the air! It is the last gasp of all who have died before us."
Estamos atrapados entre Darkin y Aspect pero nos levantaremos a pesar de ellos ,"We are caught between Darkin and Aspect, but we will rise up in spite of them."
Las estrellas están fuera de mi alcance así que agarro mi lanza y apunto ,"The stars are beyond my reach, and so I grasp my spear and take aim."
Cuando miro al pico de la montaña en mi mente ya he caído Y así subo ,"When I look to the mountain's peak, in my mind, I have already fallen. And so, I climb."
Más pesado que mi lanza es el peso de una sola vida ,Heavier than my spear is the weight of only one life.
Después de cada derrota corrí alrededor de la montaña hasta que ni siquiera la vergüenza pudo seguir el ritmo ,"After every defeat, I ran around the mountain until even shame could not keep up."
El hombre que prueba el veneno de los dioses debe escupir sus palabras ,The man who tastes the venom of gods must spit his words.
La montaña que tengo delante no siempre es alta Risas No siempre es una montaña ,The mountain before me is not always high. *Chuckle* It is not always a mountain.
La venganza es fría No lo necesito en la montaña ,Vengeance is cold. I do not need it on the mountain.
Detrás de mí se encuentra una granja Me pregunto si hay pan sobre el hogar y si alguna vez regresaré ,"Behind me lies a farm. I wonder if there is bread above the hearth, and if I will ever return."
Enfrentame ,Face me.
Sangramos en la misma tierra y debemos sangrar ,"We bleed into the same earth, and bleed we must."
Por qué peleas ,Why do you fight?
Aatrox ahogaría el mundo en sangre solo para manchar los cielos ,Aatrox would drown the world in blood just to stain the heavens.
Aatrox El fin del mundo Pero de la muerte viene la vida ,"Aatrox! The World Ender. But from death, comes life."
El poder que buscabas te ha destruido Aatrox No encontrarás otro fin ,"The power you sought has destroyed you, Aatrox. You will find no other end."
No soy el Panteón que conocías criatura Soy Atreus un mortal a punto de matar a un dragón ,"I am not the Pantheon you knew, creature. I am Atreus, a mortal, about to slay a dragon!"
Una vez confié mi destino a las estrellas dragón Ahora confío en el acero ,"I once trusted my destiny to the stars, dragon. Now, I trust in steel."
Los Lunari no necesitan un dios Necesitan un líder ,The Lunari do not need a god. They need a leader.
La batalla es un baile y los afortunados encuentran a su pareja ,"Battle is a dance, and the fortunate find their partner."
Predicas el movimiento mientras anclas nuestras almas ,"You preach movement, while anchoring our souls."
Kayn O el arma es redundante o lo eres tú ,"Kayn. Either the weapon is redundant, or you are."
Escóndete detrás de tu fe Solari y de las túnicas de tus sacerdotes ,"Hide behind your faith, Solari, and the robes of your priests."
Debajo de Aspecto y armadura eres más resistente de lo que crees ,"Beneath Aspect and armor, you are more resilient than you know."
Mientras te inclinas al sol mi lanza encuentra tu cuello ,"While you bow to the sun, my spear finds your neck."
Parásito ,Parasite!
Los golpes de los dioses no pueden destrozar el mundo si me golpean a mí ,The blows of gods cannot shatter the world if they strike me instead!
Darkin o Aspect no importa ,"Darkin or Aspect, it does not matter."
Los dioses necesitan esclavos y te encontraron a ti ,"Gods need slaves, and they found you."
Es esto un dios o una alfombra ,"Is this a god, or a rug?"
Nuestro destino es luchar y solo los más valientes no lo rechazan Lo entiendo Lunari ,"Our destiny is to fight, and only the bravest do not refuse it. I understand this, Lunari."
No soy más que un soldado y nada menos ,"I am no more than a soldier, and no less."
Llamo a las estrellas para que horneen mis abundantes panes ,I call upon the stars... to bake my bountiful breads!
Grita guerra Más fuerte ,Cry war! Louder!
La vida siempre fue una guerra ,Life was always a war.
Una legión de uno ,A legion of one.
Antes de pelear debes levantarte ,"Before you fight, you must rise."
No hay piedad para los fuertes ,No mercy for the strong.
Hasta que mi lanza se desafile ,Until my spear dulls.
Deja que el miedo te haga audaz ,Let fear make you bold.
Golpea ahora golpea más fuerte ,"Strike now, strike harder!"
Entre cada latido de mi corazón golpeo ,"Between each beat of my heart, I strike."
En leyenda ,Into legend.
Solo puedes derrotarte a ti mismo ,You can only defeat yourself.
Intacto ,Unbroken.
La fuerza de voluntad prende fuego a mi lanza ,Willpower sets my spear alight.
No te rindas ,Do not give up!
No fallarás si vale la pena ,You will not fail if it is worth it.
Todo o nada ,"Everything, or nothing."
Eco por eones ,Echo for eons.
Otra vez ,Again!
Lanza y escudo un panteón,Spear and shield. A pantheon.
El poder será tu perdición ,Power will be your undoing.
Lucha porque debes hacerlo ,"Fight, because you must!"
Levantarse Enfréntate a mí de nuevo ,Stand up. Face me again.
Seguir luchando ,Keep fighting.
Cómo mueres es quién eres ,How you die is who you are.
Me acordaré de tu nombre y lo gritaré a los cielos ,"I will remember your name, and shout it to the heavens."
La gloria se desvanece en manchas de sangre ,Glory fades into bloodstains.
Cuántos anfitriones debo matar Darkin ,"How many hosts must I kill, Darkin?"
